# 大学英语四级词库 · 来源 KyleBing/english-vocabulary（MIT）
# 格式：单词,释义
cease,v. 停止，停息 n. 停止，停息
ceiling,n. 天花板，顶蓬
celebrate,v. 庆祝；歌颂，赞美
cell,n. 细胞；小房间
cellar,n. 地窑，地下室
cement,n. 水泥；胶泥 v. 粘结
cent,n. 分；分币
center,n. 圆心， 正中； 中心
centigrade,adj. 百分度的
centimetre,n. 公分，厘米
central,adj. 中心的；主要的
centre,n. 中心；中枢 v. 集中
century,n. 世纪；百年
ceremony,n. 典礼，仪式
certain,adj. 肯定的；确实的
certainly,adv. 一定，必定；当然
certainty,n. 必然；肯定
certificate,n. 证书，证件，执照；（毕业）文凭，合格证书
chain,n. 链，链条
chair,n. 椅子；主席
chairman,n. 主席；议长，会长
chalk,n. 白垩；粉笔
challenge,n. 挑战 . v. 质疑
chamber,n. 〔人体内或某些机器中的〕室，腔；会议室；房间
champion,n. 冠军，得胜者
chance,n. 机会，机遇；可能性
change,n. 改变，变化；零钱
channel,n. 海峡；渠道；频道
chaos,n. 混乱， 紊乱
chap,n. 小伙子，小家伙，家伙
chapter,n. 章，回，篇
character,n. 角色
characteristic,n. 特点
characterize,v. 以……特点
charge,v. 索价；控告 n. 费用
charity,n. 慈善机构
charm,n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住
charming,adj. 迷人的，可爱的
chart,n. 图，图表；海图
charter,adj. 包租的， 租用的 n. 宪章，共同纲领；特许状，许可证；包租 vt. 包，租
chase,n. 追逐，追赶；追求
chat,v. 聊天
cheap,adj. 廉价的；劣质的
cheat,v. 欺骗, 作弊
check,v. 检查；制止 n. 检查
cheek,n. 脸颊
cheer,v. 使振作；欢呼
cheerful,adj. 快乐的，愉快的
cheese,n. 奶酪，干酪
chef,n. 厨师
chemical,adj. 化学的 n. 化学制品
chemist,n. 化学家；药剂师
chemistry,n. 化学
cheque,n. 支票
cherish,vt. 珍爱； 怀有
cherry,n. 樱桃；樱桃树
chess,n. 棋；国际象棋
chest,n. 胸腔，胸膛；箱子
chew,v. 咀嚼，嚼碎
chicken,n. 鸡；鸡肉
chief,adj. 首席的；主要的
child,n. 小孩，儿童；儿子/女儿
childhood,n. 童年，幼年；早期
childish,adj. 孩子的；幼稚的
chill,v. 使变冷 n. 寒冷
chimney,n. 烟囱，烟筒
chin,n. 颏，下巴
china,n. 中国
chinese,adj. 中国的 n. 中国人
chip,n. 屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵
chocolate,n. 巧克力；巧克力糖
choice,n. 选择，抉择
choke,v. 使窒息
choose,v. 选择，挑选；情愿
chop,v. 砍，劈；切细
christ,n. 基督， 救世主
christian,n. 基督教徒；信徒
christmas,n. 圣诞节
church,n. 教堂，礼拜堂；教会
cigar,n. 雪茄烟
cigaret,n. 香烟，纸烟，卷烟
cigarette,n. 香烟， 纸烟， 卷烟
cinema,n. 电影院；电影，影片
circle,n. 圆；圆周；圈子
circuit,n. 环行；电路
circular,adj. 圆的；循环的
circulate,v. 使循环
circulation,n. 循环； 流传； 发行， 流通
circumference,n. 圆周，周长，圆周线
circumstance,n. 环境，境遇
cite,v. 引用
citizen,n. 市民，城镇居民；公民
city,n. 城市，都市
civil,adj. 公民的；普通公民的；平民的
civilian,n. 平民，百姓
civilization,n. 文明
civilize,v. 使文明；教育
civilized,adj. 文明的
claim,v. 声称，主张；索取
clap,v. 拍手；拍，轻拍
clarify,v. 澄清，阐明
clash,vi. 发生冲突；不协调；砰地相撞，发出刺耳的撞击声 n. 冲突； 不协调； 刺耳的撞击声
clasp,n. 扣子，钩子；别针
class,n. 班，班级；阶级；等级
classic,adj. 最优秀的，典型的，标准的；传统式样的，典雅的 n. 文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究
classical,adj. 古典的；经典的
classification,n. 分类，级别
classify,v. 把…分类，把…分级
classmate,n. 同班同学
classroom,n. 教室，课堂
clause,n. 条款； 从句， 分句
claw,n. 爪，脚爪，螯
clay,n. 粘土，泥土
clean,adj. 清洁的；纯洁的
clear,adj. 清晰的 v. 清除
clearly,adv. 明白地，清晰地
clerk,n. 办事员，职员；店员
clever,adj. 聪明的；机敏的
click,v. 发出咔嗒声；点击 n. 咔嗒声
client,n. 客户
cliff,n. 悬崖，峭壁
climate,n. 气候；地带；风气
climb,v. 攀登，爬
clinic,n. 诊所
